universityId,universityGroupId,name,campusName,emblem,status,fileExists
"seoul-national-university-gwanak","seoul-national-university-gwanak","서울대학교","본교","assets/university-logos/seoul-national-university.png","verified","true"
"korea-university-seoul","korea-university-seoul","고려대학교 서울캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"yonsei-university-sinchon","yonsei-university-sinchon","연세대학교 신촌캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"skku-university-insa","skku-university-insa","성균관대학교 인사캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hanyang-university-seoul","hanyang-university-seoul","한양대학교 서울캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"university-of-seoul","university-of-seoul","서울시립대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"konkuk-university-seoul","konkuk-university-seoul","건국대학교 서울캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"cau-university-seoul","cau-university-seoul","중앙대학교 서울캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kyunghee-university-seoul","kyunghee-university-seoul","경희대학교 서울캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"pusan-national-university","pusan-national-university","부산대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"inha-university","inha-university","인하대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kyungpook-national-university","kyungpook-national-university","경북대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chonbuk-national-university","chonbuk-national-university","전북대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chonnam-national-university","chonnam-national-university","전남대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"jeju-national-university","jeju-national-university","제주대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chungnam-national-university","chungnam-national-university","충남대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"chungbuk-national-university","chungbuk-national-university","충북대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kangwon-national-university","kangwon-national-university","강원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gyeongsang-national-university","gyeongsang-national-university","경상국립대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"busan-national-university-of-education","busan-national-university-of-education","부산교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"seoul-national-university-of-education","seoul-national-university-of-education","서울교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"korea-national-university-of-education","korea-national-university-of-education","한국교원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"korea-university-of-technology-and-education","korea-university-of-technology-and-education","한국기술교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"korea-marine-and-ocean-university","korea-marine-and-ocean-university","한국해양대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"korea-aerospace-university","korea-aerospace-university","한국항공대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"ewha-womans-university","ewha-womans-university","이화여자대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sogang-university","sogang-university","서강대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hufs-seoul","hufs-seoul","한국외국어대학교 서울캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dongguk-university-seoul","dongguk-university-seoul","동국대학교 서울캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hongik-university-seoul","hongik-university-seoul","홍익대학교 서울캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kookmin-university","kookmin-university","국민대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"soongsil-university","soongsil-university","숭실대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sejong-university","sejong-university","세종대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"ajou-university","ajou-university","아주대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gachon-university-global","gachon-university-global","가천대학교 글로벌캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dankook-university-jukjeon","dankook-university-jukjeon","단국대학교 죽전캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kyonggi-university-suwon","kyonggi-university-suwon","경기대학교 수원캠퍼스","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kaist-daejeon","kaist-daejeon","한국과학기술원","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"postech","postech","포항공과대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"unist","unist","울산과학기술원","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
